Source,Target,IntervalNumber,StartTime,EndTime,Duration,DurationRatio,RangeMax,RangeMin,RangeRate,LinkID,LinkType
LEO_6 -X_OCT,LEO_61 -Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,5503915.2676,5400099.6577,30,LEO_6 -X_OCT--LEO_61 -Y_OCT--1,LEO_LEO
LEO_7 -X_OCT,LEO_20 +X_OCT,3,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,7464138.869,7242472.8588,30,LEO_7 -X_OCT--LEO_20 +X_OCT--3,LEO_LEO
LEO_7 -X_OCT,LEO_47 +Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7990078.0038,7771710.5127,30,LEO_7 -X_OCT--LEO_47 +Y_OCT--1,LEO_LEO
LEO_7 -X_OCT,LEO_48 +Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7841805.7917,7421277.3506,30,LEO_7 -X_OCT--LEO_48 +Y_OCT--1,LEO_LEO
LEO_9 -X_OCT,LEO_30 -Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7934069.3326,7700435.7832,30,LEO_9 -X_OCT--LEO_30 -Y_OCT--1,LEO_LEO
LEO_9 -X_OCT,LEO_51 -X_OCT,3,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,1802459.972,1209557.108,30,LEO_9 -X_OCT--LEO_51 -X_OCT--3,LEO_LEO
LEO_9 -X_OCT,LEO_51 -Y_OCT,2,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,1802460.1035,1209557.3094,30,LEO_9 -X_OCT--LEO_51 -Y_OCT--2,LEO_LEO
LEO_10 -X_OCT,LEO_57 +X_OCT,7,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,8134666.2989,8038593.5914,20,LEO_10 -X_OCT--LEO_57 +X_OCT--7,LEO_LEO
LEO_10 -X_OCT,LEO_57 -Y_OCT,4,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,8134666.5023,8038593.7607,20,LEO_10 -X_OCT--LEO_57 -Y_OCT--4,LEO_LEO
LEO_11 -X_OCT,LEO_25 +Y_OCT,2,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,1508168.7098,1481428.2348,30,LEO_11 -X_OCT--LEO_25 +Y_OCT--2,LEO_LEO
LEO_13 -X_OCT,LEO_26 +Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7934069.3326,7700435.7832,30,LEO_13 -X_OCT--LEO_26 +Y_OCT--1,LEO_LEO
LEO_13 -X_OCT,LEO_55 -X_OCT,3,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,1802459.972,1209557.108,30,LEO_13 -X_OCT--LEO_55 -X_OCT--3,LEO_LEO
LEO_13 -X_OCT,LEO_55 +Y_OCT,2,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,1802460.1035,1209557.3094,30,LEO_13 -X_OCT--LEO_55 +Y_OCT--2,LEO_LEO
LEO_14 -X_OCT,LEO_61 +X_OCT,7,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,8134666.2989,8038593.5914,20,LEO_14 -X_OCT--LEO_61 +X_OCT--7,LEO_LEO
LEO_14 -X_OCT,LEO_61 +Y_OCT,4,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,8134666.5023,8038593.7607,20,LEO_14 -X_OCT--LEO_61 +Y_OCT--4,LEO_LEO
LEO_15 -X_OCT,LEO_29 -Y_OCT,2,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,1508168.7098,1481428.2348,30,LEO_15 -X_OCT--LEO_29 -Y_OCT--2,LEO_LEO
LEO_17 -X_OCT,LEO_46 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7655691.4387,7211920.001,30,LEO_17 -X_OCT--LEO_46 -X_OCT--1,LEO_LEO
LEO_17 -X_OCT,LEO_46 -Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7655691.307,7211919.881,30,LEO_17 -X_OCT--LEO_46 -Y_OCT--1,LEO_LEO
LEO_18 -X_OCT,LEO_59 +X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,3942823.2013,3810845.6331,30,LEO_18 -X_OCT--LEO_59 +X_OCT--1,LEO_LEO
LEO_21 -X_OCT,LEO_42 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7655691.4387,7211920.001,30,LEO_21 -X_OCT--LEO_42 -X_OCT--1,LEO_LEO
LEO_21 -X_OCT,LEO_42 +Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7655691.307,7211919.881,30,LEO_21 -X_OCT--LEO_42 +Y_OCT--1,LEO_LEO
LEO_22 -X_OCT,LEO_63 +X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,3942823.2013,3810845.6331,30,LEO_22 -X_OCT--LEO_63 +X_OCT--1,LEO_LEO
LEO_25 -X_OCT,LEO_52 +X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7895995.9174,7830928.4999,30,LEO_25 -X_OCT--LEO_52 +X_OCT--1,LEO_LEO
LEO_25 -X_OCT,LEO_52 -Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7895995.7224,7830928.3479,30,LEO_25 -X_OCT--LEO_52 -Y_OCT--1,LEO_LEO
LEO_26 -X_OCT,LEO_40 -Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7848904.0558,7799838.7152,30,LEO_26 -X_OCT--LEO_40 -Y_OCT--1,LEO_LEO
LEO_27 -X_OCT,LEO_33 +Y_OCT,2,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,6681419.0598,6658450.2839,30,LEO_27 -X_OCT--LEO_33 +Y_OCT--2,LEO_LEO
LEO_29 -X_OCT,LEO_56 +X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,7895995.9174,7830928.4999,30,LEO_29 -X_OCT--LEO_56 +X_OCT--1,LEO_LEO
